asset_id,component,subsystem,fleet,install_date,failure_date,operating_hours,censored,failure_mode,environment,operator,maintenance_type,cost,downtime_hours
CAT785-6514,Bomba Hidráulica,Sistema Hidráulico,CAT 785,2025-03-28,2025-04-02,3006.2,False,Contaminação,Mina A,Operador_20,preventiva,9628.513093097521,18.054099307263993
CAT785-7916,Bomba Hidráulica,Sistema Hidráulico,CAT 785,2025-06-15,2025-06-17,1184.5,False,Cavitação,Porto D,Operador_09,preditiva,9843.118808937992,2.252582482742032
VolvoEC750-2743,Bomba Hidráulica,Sistema Hidráulico,Volvo EC750,2024-02-20,,3414.2,True,,Mina B,Operador_25,,,
CAT777-2113,Bomba Hidráulica,Sistema Hidráulico,CAT 777,2024-06-29,,2627.2,True,,Porto D,Operador_20,,,
VolvoEC750-1590,Bomba Hidráulica,Sistema Hidráulico,Volvo EC750,2023-09-28,2023-10-02,2359.1,False,Contaminação,Mina B,Operador_02,preventiva,7240.306153359016,7.489654262904337
VolvoEC750-5930,Bomba Hidráulica,Sistema Hidráulico,Volvo EC750,2023-07-15,2023-07-20,2518.1,False,Cavitação,Mina A,Operador_20,preditiva,7688.996918946153,11.719292370434964
KomatsuPC930-9702,Bomba Hidráulica,Sistema Hidráulico,Komatsu PC930,2024-01-13,2024-01-18,2989.6,False,Cavitação,Porto D,Operador_14,preditiva,8183.654448306802,5.501473965945984
KomatsuPC930-9824,Bomba Hidráulica,,Komatsu PC930,2023-02-05,2023-02-09,2334.3,False,Contaminação,Pedreira C,Operador_15,preventiva,9878.406732936273,23.577041889317076
KomatsuPC930-3529,Bomba Hidráulica,Sistema Hidráulico,Komatsu PC930,2025-05-23,2025-05-29,3148.8,False,Cavitação,Porto D,Operador_23,preventiva,8999.34661031709,20.73883643171521
CAT777-8237,Bomba Hidráulica,Sistema Hidráulico,CAT 777,2023-11-16,2023-11-19,1497.6,False,Contaminação,Pedreira C,Operador_15,preventiva,7196.86799643557,10.4632514772816
CAT777-1645,Bomba Hidráulica,Sistema Hidráulico,CAT 777,2024-01-30,,72.42473405329667,True,,Porto D,Operador_10,,,
KomatsuPC930-2622,Bomba Hidráulica,Sistema Hidráulico,Komatsu PC930,2023-01-25,2023-01-27,1286.3,False,Cavitação,Porto D,Operador_12,corretiva,8173.532344242806,22.912213736731392
CAT785-1815,Bomba Hidráulica,Sistema Hidráulico,CAT 785,2025-05-09,2025-05-16,3720.4,False,Cavitação,Pedreira C,Operador_15,preventiva,7492.667377459078,18.608749160704154
VolvoEC750-8538,Bomba Hidráulica,Sistema Hidráulico,Volvo EC750,2023-10-13,2023-10-20,4051.4,False,Contaminação,Mina A,Operador_19,preventiva,8495.850172002527,10.706867330905325
CAT789-8361,Bomba Hidráulica,Sistema Hidráulico,CAT 789,2022-12-07,2022-12-13,3250.4,False,Desgaste interno,Mina B,Operador_15,preventiva,10121.887708505099,11.127731928018118
KomatsuPC930-8840,Bomba Hidráulica,Sistema Hidráulico,Komatsu PC930,2024-10-15,,2744.4,True,,Mina B,Operador_10,,,
KomatsuPC930-2438,Bomba Hidráulica,Sistema Hidráulico,Komatsu PC930,2024-01-08,2024-01-14,3291.4,False,Contaminação,Pedreira C,Operador_10,corretiva,9247.23641602885,22.40113804790991
KomatsuPC930-9238,Bomba Hidráulica,Sistema Hidráulico,Komatsu PC930,2025-07-02,2025-07-06,2337.6,False,Desgaste interno,Mina A,Operador_11,preditiva,7301.881138861868,22.844629009812245
VolvoEC750-3526,Bomba Hidráulica,Sistema Hidráulico,Volvo EC750,2024-11-07,2024-11-13,3174.4,False,Desgaste interno,Pedreira C,Operador_03,corretiva,10194.187415881566,18.962492113478238
KomatsuPC930-9734,Bomba Hidráulica,Sistema Hidráulico,Komatsu PC930,2023-11-22,2023-11-30,4693.3,False,Cavitação,Pedreira C,Operador_21,preditiva,7457.448733153242,12.651962237282182
