asset_id,component,subsystem,fleet,install_date,failure_date,operating_hours,censored,failure_mode,environment,operator,maintenance_type,cost,downtime_hours
CAT777-7201,Filtro de Ar,Admissão,CAT 777,2025-05-15,2025-05-16,299.2,False,Rasgo,Pedreira C,Operador_19,corretiva,138.2743101728954,3.0081364404245687
CAT785-6313,Filtro de Ar,Admissão,CAT 785,2025-07-01,2025-07-05,2546.2,False,Rasgo,Mina B,Operador_09,corretiva,108.6589706151796,22.744013715371196
CAT777-6310,Filtro de Ar,Admissão,CAT 777,2023-01-27,,181.7,True,,Mina A,Operador_10,,,
CAT785-5342,Filtro de Ar,Admissão,CAT 785,2022-11-08,2022-11-09,500.1,False,Selo danificado,Porto D,,corretiva,138.7769383691473,10.77783059994344
CAT777-6138,Filtro de Ar,Admissão,Cat777,2025-06-28,2025-06-29,599.7,False,Selo danificado,Mina A,Operador_06,corretiva,153.646734196467,3.762452235292911
CAT777-5905,Filtro de Ar,Admissão,CAT 777,2025-03-25,2025-03-27,1442.6,False,Selo danificado,Mina B,Operador_18,corretiva,112.340892738889,15.306256194664925
CAT789-1452,Filtro de Ar,Admissão,CAT 789,2025-03-01,,1133.9,True,,Pedreira C,Operador_04,,,
KomatsuPC930-8381,Filtro de Ar,Admissão,Komatsu PC930,2023-05-01,2023-05-01,177.2,False,Rasgo,Pedreira C,Operador_19,preditiva,99.61381826235245,23.12239310355458
KomatsuPC930-6188,Filtro de Ar,Admissão,Komatsu PC930,2023-01-28,2023-01-30,1238.2,False,Selo danificado,Mina A,Operador_10,corretiva,140.80598200427562,11.547372382308765
KomatsuPC930-3950,Filtro de Ar,Admissão,Komatsu PC930,2024-11-09,,1859.6,True,,Mina B,Operador_08,,,
CAT789-2479,Filtro de Ar,,CAT 789,2023-08-07,2023-08-09,814.7,False,Rasgo,Mina A,Operador_22,preditiva,136.3404478410608,14.860322016347652
CAT789-8504,Filtro de Ar,Admissão,CAT 789,2025-08-21,2025-08-22,688.8,False,Rasgo,Mina A,Operador_22,corretiva,125.41613124865353,22.013418240535046
CAT785-7163,Filtro de Ar,Admissão,CAT 785,2023-06-17,2023-06-21,2473.6,False,Selo danificado,Porto D,Operador_11,preditiva,131.77342633230555,21.433528059403553
CAT777-8368,Filtro de Ar,Admissão,CAT 777,2024-10-03,2024-10-06,1705.3,False,Entupimento,Pedreira C,Operador_15,corretiva,144.65800867935724,20.422297921446194
CAT789-1298,Filtro de Ar,Admissão,CAT 789,2023-10-12,,125.3,True,,Pedreira C,Operador_16,,,
VolvoEC750-9312,Filtro de Ar,Admissão,Volvo EC750,2022-12-19,2022-12-20,479.6,False,Selo danificado,Mina A,Operador_13,preventiva,111.21901566415278,2.3573290843968477
CAT789-2292,Filtro de Ar,Admissão,CAT 789,2024-05-28,2024-05-31,1508.2,False,Entupimento,Mina B,Operador_21,preventiva,132.8656966984919,4.055424951438672
KomatsuPC930-9193,Filtro de Ar,Admissão,Komatsu PC930,2025-08-02,,516.8,True,,Mina A,Operador_17,,,
