asset_id,component,subsystem,fleet,install_date,failure_date,operating_hours,censored,failure_mode,environment,operator,maintenance_type,cost,downtime_hours
CAT777-1993,Motor,Powertrain,CAT 777,2023-07-22,2023-07-27,2975.5,False,Desgaste de anéis,Pedreira C,Operador_07,preditiva,25607.669347914154,11.281396076356891
VolvoEC750-2343,Motor,Powertrain,Volvo EC750,2023-06-18,2023-06-30,6902.5,False,Vazamento de óleo,Pedreira C,Operador_11,corretiva,23320.181406641925,4.879322206804042
CAT789-3143,Motor,Powertrain,CAT 789,2024-05-05,2024-05-18,7748.2,False,Superaquecimento,Mina B,Operador_18,corretiva,21398.423507366686,22.79112065902606
VolvoEC750-9821,Motor,Powertrain,Volvo EC750,2024-09-15,2024-09-18,1653.1,False,Superaquecimento,Pedreira C,Operador_20,preventiva,28292.343453319303,4.741756944616091
VolvoEC750-7232,Motor,Powertrain,Volvo EC750,2023-02-20,2023-03-01,4817.8,False,Superaquecimento,Mina A,Operador_14,preditiva,29343.945862225635,14.01491081414446
CAT789-7211,Motor,Powertrain,CAT 789,2023-12-23,2024-01-09,9830.0,False,Superaquecimento,Mina B,Operador_09,preventiva,23153.39414727976,3.8019371207561363
VolvoEC750-1853,Motor,Powertrain,Volvo EC750,2023-11-07,2023-12-02,14588.0,False,Vazamento de óleo,Mina B,Operador_02,corretiva,31870.14665894986,6.385935011975723
VolvoEC750-3496,Motor,Powertrain,Volvo EC750,2024-06-22,2024-07-14,12075.3,False,Desgaste de anéis,Mina B,Operador_15,preditiva,23203.046207027335,10.115693835104711
VolvoEC750-5786,Motor,Powertrain,Volvo EC750,2025-02-07,,163.7,True,,Porto D,Operador_16,,,
CAT785-3444,Motor,Powertrain,CAT 785,2024-02-09,2024-02-22,7043.1,False,Superaquecimento,Mina A,Operador_20,preditiva,29884.260373042744,6.965117015430762
KomatsuPC930-6280,Motor,Powertrain,Komatsu PC930,2024-05-29,,5965.4,True,,Mina A,Operador_19,,,
VolvoEC750-9138,Motor,Powertrain,Volvo EC750,2024-03-16,2024-04-02,9616.0,False,Vazamento de óleo,Mina B,Operador_07,preditiva,23132.8350005452,18.622701122316897
CAT785-1243,Motor,Powertrain,CAT 785,2023-10-21,2023-11-13,12327.4,False,Superaquecimento,Mina B,Operador_02,corretiva,29271.47571192687,13.573881585153076
KomatsuPC930-2275,Motor,Powertrain,Komatsu PC930,2024-01-21,2024-02-08,10777.8,False,Superaquecimento,Porto D,Operador_10,corretiva,25062.903838311933,23.256393202728777
CAT789-4533,Motor,Powertrain,CAT 789,2024-12-21,,978.4,True,,Porto D,Operador_02,,,
VolvoEC750-8775,Motor,Powertrain,Volvo EC750,2024-04-28,2024-05-04,3221.4,False,Desgaste de anéis,Mina B,Operador_17,preditiva,29014.785440614054,19.04133485634384
KomatsuPC930-5169,Motor,Powertrain,Komatsu PC930,2025-10-17,2025-10-26,4678.7,False,Superaquecimento,Mina B,Operador_23,corretiva,26764.543800998817,3.3256238889755405
CAT785-1724,Motor,Powertrain,CAT 785,2023-07-23,2023-08-06,7891.1,False,Desgaste de anéis,Porto D,Operador_05,preditiva,32418.543015538104,7.151553377116452
CAT777-7640,Motor,Powertrain,CAT 777,2023-09-08,2023-09-16,4554.3,False,Desgaste de anéis,Porto D,Operador_23,corretiva,21033.576531322524,20.597255479887217
CAT789-4683,Motor,,CAT 789,2024-03-11,2024-04-07,15894.9,False,Superaquecimento,Mina B,Operador_18,preditiva,21415.137441150287,4.512546329897313
KomatsuPC930-5305,Motor,Powertrain,Komatsu PC930,2023-11-10,2023-11-24,8437.0,False,Desgaste de anéis,Mina A,Operador_07,preditiva,27349.048712210133,9.713878504507772
CAT777-8511,Motor,Powertrain,CAT 777,2023-10-21,2023-10-25,2175.4,False,Superaquecimento,Mina A,Operador_07,preventiva,23356.710478930283,20.223559575073775
