asset_id,component,subsystem,fleet,install_date,failure_date,operating_hours,censored,failure_mode,environment,operator,maintenance_type,cost,downtime_hours
VolvoEC750-7873,Pneu,Rodado,Volvo EC750,2024-07-29,2024-08-04,3682.9,False,Desgaste excessivo,Porto D,Operador_25,corretiva,1378.883636992936,9.48551136339582
CAT789-2307,Pneu,Rodado,Caterpillar 789,2024-07-04,2024-07-06,1096.4,False,Corte lateral,Mina A,Operador_06,preventiva,1173.162420136513,16.743853836309256
CAT777-4946,Pneu,Rodado,CAT 777,2025-05-15,2025-05-17,1215.5,False,Separação da banda,Mina A,Operador_25,corretiva,1037.0348786998577,12.456212318172089
VolvoEC750-8752,Pneu,Rodado,Volvo EC750,2024-11-10,2024-11-12,1007.1,False,Separação da banda,Mina A,Operador_11,corretiva,1451.0540787219986,18.52503902589611
CAT789-6502,Pneu,Rodado,CAT 789,2024-01-08,,363.3,True,,Mina A,Operador_23,,,
CAT777-7797,Pneu,Rodado,CAT 777,2023-07-12,2023-07-15,1962.8,False,Desgaste excessivo,Pedreira C,Operador_14,preventiva,1502.9030870041063,14.849747112492953
KomatsuPC930-9041,Pneu,Rodado,Komatsu PC930,2023-04-20,,334.8,True,,Mina A,Operador_10,,,
CAT777-4155,Pneu,Rodado,CAT 777,2024-01-16,2024-01-19,1687.6,False,Separação da banda,Mina A,Operador_06,corretiva,1089.8307839271636,12.652368918679592
VolvoEC750-7274,Pneu,Rodado,Volvo EC750,2024-07-02,,680.7,True,,Porto D,Operador_13,,,
CAT789-3417,Pneu,Rodado,CAT 789,2025-10-18,2025-10-21,1884.3,False,Desgaste excessivo,Pedreira C,Operador_18,preventiva,1439.1082941345742,4.418379653567582
KomatsuPC930-8398,Pneu,Rodado,Komatsu PC930,2024-07-13,2024-07-15,1160.3,False,Corte lateral,Porto D,Operador_24,corretiva,1147.52900999828,8.87551856512109
