asset_id,component,subsystem,fleet,install_date,failure_date,operating_hours,censored,failure_mode,environment,operator,maintenance_type,cost,downtime_hours
CAT785-9179,Radiador,Arrefecimento,CAT 785,2023-08-05,,869.8,True,,Porto D,Operador_18,,,
KomatsuPC930-9479,Radiador,Arrefecimento,Komatsu PC930,2023-04-13,2023-04-18,2557.6,False,Entupimento,Mina A,Operador_19,preditiva,2562.160625635208,6.844782457934309
CAT777-5002,Radiador,Arrefecimento,CAT 777,2023-09-28,,2815.3,True,,Pedreira C,Operador_20,,,
CAT785-5325,Radiador,Arrefecimento,CAT 785,2022-12-23,2022-12-25,1116.9,False,Entupimento,Porto D,Operador_03,preditiva,2833.006081589217,8.086964927389538
KomatsuPC930-3877,Radiador,Arrefecimento,Komatsu PC930,2024-09-07,2024-09-23,9520.8,False,Vazamento,Mina B,Operador_17,preditiva,3518.8817642743757,20.27039763048274
CAT777-4830,Radiador,,CAT 777,2023-03-03,2023-03-09,3654.4,False,Vazamento,Mina A,Operador_20,corretiva,3146.7133328952186,15.978886292314659
CAT777-7018,Radiador,Arrefecimento,CAT 777,2023-10-20,2023-10-29,4919.4,False,Entupimento,Mina A,Operador_15,corretiva,3167.8762332867695,16.117498279130785
KomatsuPC930-9692,Radiador,Arrefecimento,Komatsu PC930,2024-02-28,2024-03-04,3079.3,False,Corrosão,Porto D,Operador_04,preditiva,3151.283330833828,18.917180062304247
CAT785-1982,Radiador,Arrefecimento,CAT 785,2023-12-18,2023-12-21,1764.0,False,Vazamento,Mina A,Operador_24,corretiva,3595.7580754360647,15.209022006942895
CAT777-9313,Radiador,Arrefecimento,CAT 777,2024-08-14,2024-09-06,12889.1,False,Entupimento,Mina B,Operador_12,preditiva,2754.58547086149,18.777323902610693
CAT777-3972,Radiador,Arrefecimento,CAT 777,2025-01-03,,4506.2,True,,Porto D,Operador_03,,,
CAT789-3419,Radiador,Arrefecimento,CAT 789,2024-06-27,,290.8,True,,Mina A,Operador_25,,,
CAT785-8205,Radiador,Arrefecimento,CAT 785,2025-06-06,2025-06-15,4896.3,False,Vazamento,Porto D,Operador_19,corretiva,2732.7191116681074,3.632194435812329
CAT789-7272,Radiador,Arrefecimento,CAT 789,2025-08-18,2025-08-28,5869.7,False,Vazamento,Mina B,Operador_15,corretiva,3043.4904896674543,13.648117393798373
KomatsuPC930-5201,Radiador,Arrefecimento,Komatsu PC930,2023-02-15,2023-02-18,1925.3,False,Corrosão,Mina B,Operador_23,preventiva,2432.1821367212924,15.544894757118831
CAT789-4164,Radiador,Arrefecimento,CAT 789,2024-10-29,2024-11-09,6321.8,False,Entupimento,Porto D,Operador_13,preditiva,2373.5391481123393,23.59707423369185
CAT789-1251,Radiador,Arrefecimento,CAT 789,2024-08-16,2024-08-19,1712.9,False,Vazamento,Mina B,Operador_08,preditiva,3086.1621477102935,6.499289145513661
VolvoEC750-2562,Radiador,Arrefecimento,Volvo EC750,2022-11-07,2022-11-18,6389.0,False,Corrosão,Mina A,Operador_19,preventiva,2619.533073791763,22.33150386538846
CAT777-5478,Radiador,Arrefecimento,CAT 777,2023-04-15,2023-04-26,6491.1,False,Vazamento,Porto D,Operador_14,corretiva,3191.5728013234225,16.534781965327262
KomatsuPC930-6484,Radiador,Arrefecimento,Komatsu PC930,2023-05-26,2023-06-08,7262.2,False,Corrosão,Mina B,Operador_07,preventiva,2679.856593673618,23.220641708085466
CAT789-9044,Radiador,Arrefecimento,CAT 789,2024-06-14,2024-06-26,6930.7,False,Vazamento,Pedreira C,Operador_12,corretiva,3544.8940136238243,6.395601071633358
