asset_id,component,subsystem,fleet,install_date,failure_date,operating_hours,censored,failure_mode,environment,operator,maintenance_type,cost,downtime_hours
VolvoEC750-8019,Sistema de Freio,Freios,Volvo EC750,2023-07-29,2023-08-05,4509.2,False,Superaquecimento,Pedreira C,Operador_16,corretiva,4122.618775684041,20.944264012666647
KomatsuPC930-5092,Sistema de Freio,Freios,Komatsu PC930,2025-05-22,2025-05-31,5532.9,False,Desgaste de pastilhas,Porto D,Operador_02,preditiva,4548.744319722272,20.392606871758943
KomatsuPC930-6180,Sistema de Freio,Freios,Komatsu PC930,2025-05-28,2025-05-31,1833.7,False,Desgaste de pastilhas,Mina A,Operador_03,preditiva,3173.020046467321,7.83440912450883
CAT785-4652,Sistema de Freio,Freios,CAT 785,2025-09-05,2025-09-23,10194.9,False,Desgaste de pastilhas,Mina B,Operador_25,preventiva,3414.5057258948164,13.206924861616823
VolvoEC750-6067,Sistema de Freio,Freios,Volvo EC750,2023-07-10,2023-07-17,4064.3,False,Desgaste de pastilhas,Pedreira C,Operador_07,preventiva,3963.62650987235,10.341196096695919
CAT785-4262,Sistema de Freio,Freios,CAT 785,2024-12-26,,2509.8,True,,Mina A,Operador_25,,,
VolvoEC750-1166,Sistema de Freio,Freios,Volvo EC750,2022-11-30,,2207.0,True,,Mina B,Operador_25,,,
KomatsuPC930-8941,Sistema de Freio,Freios,Komatsu PC930,2025-02-17,2025-02-21,2538.2,False,Desgaste de pastilhas,Mina A,Operador_23,corretiva,3343.8127421883364,2.300838218253335
KomatsuPC930-6568,Sistema de Freio,Freios,Komatsu PC930,2022-12-19,2022-12-26,3719.1,False,Vazamento,Pedreira C,Operador_19,preditiva,4548.079083151343,12.772087626425423
KomatsuPC930-5835,Sistema de Freio,Freios,Komatsu PC930,2023-11-30,2023-12-05,3011.2,False,Desgaste de pastilhas,Mina A,Operador_22,preditiva,3980.210903025411,10.743052894472585
CAT789-3500,Sistema de Freio,Freios,Cat789,2023-02-25,,239.3,True,,Mina A,Operador_24,,,
CAT789-4630,Sistema de Freio,Freios,cat 789,2023-12-11,,1722.6,True,,Mina B,Operador_07,,,
KomatsuPC930-7697,Sistema de Freio,Freios,Komatsu PC930,2023-12-01,2023-12-07,3274.1,False,Desgaste de pastilhas,Mina A,Operador_11,corretiva,3776.4356217322043,10.504412503922232
VolvoEC750-3463,Sistema de Freio,Freios,Volvo EC750,2023-12-11,2023-12-16,2684.6,False,Vazamento,Mina A,Operador_10,preditiva,4022.339934920792,10.623075655377928
CAT789-1783,Sistema de Freio,Freios,CAT 789,2023-12-14,,316.2,True,,Pedreira C,,,,
CAT785-7825,Sistema de Freio,Freios,CAT 785,2025-08-22,2025-08-30,4806.4,False,Superaquecimento,Porto D,Operador_10,preventiva,3228.5363436356506,19.76168491743355
